name	description
with_uniprotswissprot	With UniProtKB/Swiss-Prot ID(s)
with_uniprotsptrembl	With UniProtKB/TrEMBL ID(s)
with_vega_transcript	With Vega transcript ID(s)
with_vega_translation	With Vega translation ID(s)
with_wikigene	With WikiGene ID(s)
ensembl_gene_id	Gene stable ID(s) [e.g. ENSG00000000003]
ensembl_gene_id_version	Gene stable ID(s) with version [e.g. ENSG00000000003.10]
ensembl_transcript_id	Transcript stable ID(s) [e.g. ENST00000000233]
ensembl_transcript_id_version	Transcript stable ID(s) with version [e.g. ENST00000000233.5]
ensembl_peptide_id	Protein stable ID(s) [e.g. ENSP00000000233]
ensembl_peptide_id_version	Protein stable ID(s) with version [e.g. ENSP00000000233.5]
ensembl_exon_id	Exon ID(s) [e.g. ENSE00000327880]
external_gene_name	Gene Name(s) [e.g. SLC25A26]
external_transcript_name	Transcript Name(s) [e.g. SLC25A26-001]
arrayexpress	ArrayExpress ID(s) [e.g. ENSG00000000003]
ccds	CCDS ID(s) [e.g. CCDS10]
chembl	ChEMBL ID(s) [e.g. CHEMBL1075092]
clone_based_ensembl_gene	Clone-based (Ensembl) gene ID(s) [e.g. AB019440.1]
clone_based_ensembl_transcript	Clone-based (Ensembl) transcript ID(s) [e.g. AB019440.1-201]
clone_based_vega_gene	Clone-based (Vega) gene ID(s) [e.g. AB015752.3]
clone_based_vega_transcript	Clone-based (Vega) transcript ID(s) [e.g. AB015752.3-001]
dbass3_name	DataBase of Aberrant 3' Splice Sites name(s) [e.g. ABCC8]
dbass3_id	DataBase of Aberrant 3' Splice Sites ID(s) [e.g. 1]
ens_hs_translation	Ensembl Human Translation ID(s) [e.g. ENSP00000155840]
entrezgene	EntrezGene ID(s) [e.g. 1]
embl	European Nucleotide Archive ID(s) [e.g. A06800]
go	GO ID(s) [e.g. GO:0000002]
goslim_goa	GOSlim GOA ID(s) [e.g. GO:0000003]
ottg	Havana gene ID(s) [e.g. OTTHUMG00000000392]
ottt	Havana transcript ID(s) [e.g. OTTHUMT00000001010]
shares_cds_with_ottt	Havana transcript having same CDS ID(s) [e.g. OTTHUMT00000001071]
hgnc_symbol	HGNC symbol(s) [e.g. A1BG]
hgnc_id	HGNC ID(s) [e.g. 100]
hgnc_trans_name	HGNC transcript name ID(s) [e.g. A1BG-001]
hpa	Human Protein Atlas ID(s) [e.g. 1]
protein_id	INSDC protein ID(s) [e.g. AAA02487]
kegg_enzyme	KEGG ID(s) [e.g. 00010+1.1.1.1]
lrg	Locus Reference Genomic ID(s) [e.g. LRG_1]
ens_lrg_gene	LRG display in Ensembl gene ID(s) [e.g. LRG_1]
ens_lrg_transcript	LRG display in Ensembl transcript ID(s) [e.g. LRG_100t1]
merops	MEROPS - the Peptidase Database ID(s) [e.g. A01.003]
metacyc	MetaCyc ID(s) [e.g. PWY-1042]
mim_morbid_accession	MIM disease accession(s) [e.g. 100070]
mim_gene_accession	MIM gene accession(s) [e.g. 100640]
mirbase_id	miRBase ID(s) [e.g. hsa-let-7a-1]
mirbase_accession	miRBase accession(s) [e.g. MI0000060]
mirbase_trans_name	miRBase transcript name ID(s) [e.g. hsa-mir-1199.1-001]
pdb	PDB ID(s) [e.g. 10GS]
reactome	Reactome ID(s) [e.g. REACT_1046]
refseq_mrna	RefSeq mRNA ID(s) [e.g. NC_000016]
refseq_mrna_predicted	RefSeq mRNA predicted ID(s) [e.g. XM_001125684]
refseq_ncrna	RefSeq ncRNA ID(s) [e.g. NR_000005]
refseq_ncrna_predicted	RefSeq ncRNA predicted ID(s) [e.g. XR_108279]
refseq_peptide	RefSeq peptide ID(s) [e.g. NP_000005]
refseq_peptide_predicted	RefSeq peptide predicted ID(s) [e.g. XP_001125684]
rfam	RFAM ID(s) [e.g. RF00001]
rfam_trans_name	RFAM transcript name ID(s) [e.g. 5S_rRNA.1-201]
shares_cds_and_utr_with_ottt	Transcript having exact match between ENSEMBL and HAVANA ID(s) [e.g. OTTHUMT00000001018]
ucsc	UCSC Stable ID(s) [e.g. uc001aaa.3]
unigene	UniGene ID(s) [e.g. Hs.100057]
uniparc	UniParc ID(s) [e.g. UPI000000003C]
unipathway	UniPathway ID(s) [e.g. UPA00002]
uniprot_gn_trans_name	UniProt transcript name ID(s) [e.g. ACE-001]
uniprot_gn	UniProtKB Gene Name ID(s) [e.g. 214K23.2]
uniprotswissprot	UniProtKB/Swiss-Prot ID(s) [e.g. A0A183]
uniprotsptrembl	UniProtKB/TrEMBL ID(s) [e.g. A0A2G6]
vega_transcript	Vega transcript ID(s) [e.g. OTTHUMT00000001010]
vega_translation	Vega translation ID(s) [e.g. 134924]
wikigene_name	WikiGene name(s) [e.g. 101927218]
wikigene_id	WikiGene ID(s) [e.g. 1]
with_affy_hc_g110	With AFFY HC G110 probe ID(s)
with_affy_hg_focus	With AFFY HG Focus probe ID(s)
with_affy_hg_u133a	With AFFY HG U133A probe ID(s)
with_affy_hg_u133a_2	With AFFY HG U133A 2 probe ID(s)
with_affy_hg_u133b	With AFFY HG U133B probe ID(s)
with_affy_hg_u133_plus_2	With AFFY HG U133 Plus 2 probe ID(s)
with_affy_hg_u95a	With AFFY HG U95A probe ID(s)
with_affy_hg_u95av2	With AFFY HG U95Av2 probe ID(s)
with_affy_hg_u95b	With AFFY HG U95B probe ID(s)
with_affy_hg_u95c	With AFFY HG U95C probe ID(s)
with_affy_hg_u95d	With AFFY HG U95D probe ID(s)
with_affy_hg_u95e	With AFFY HG U95E probe ID(s)
with_affy_hta_2_0	With AFFY HTA 2 0 probe ID(s)
with_affy_huex_1_0_st_v2	With AFFY HuEx 1 0 st v2 probe ID(s)
with_affy_hugenefl	With AFFY HuGeneFL probe ID(s)
with_affy_hugene_1_0_st_v1	With AFFY HuGene 1 0 st v1 probe ID(s)
with_affy_hugene_2_0_st_v1	With AFFY HuGene 2 0 st v1 probe ID(s)
with_affy_primeview	With AFFY PrimeView probe ID(s)
with_affy_u133_x3p	With AFFY U133 X3P probe ID(s)
with_agilent_cgh_44b	With AGILENT CGH 44b probe ID(s)
with_agilent_sureprint_g3_ge_8x60k	With AGILENT SurePrint G3 GE 8x60k probe ID(s)
with_agilent_sureprint_g3_ge_8x60k_v2	With AGILENT SurePrint G3 GE 8x60k v2 probe ID(s)
with_agilent_wholegenome_4x44k_v1	With AGILENT WholeGenome 4x44k v1 probe ID(s)
with_agilent_wholegenome_4x44k_v2	With AGILENT WholeGenome 4x44k v2 probe ID(s)
with_codelink_codelink	With CODELINK CODELINK probe ID(s)
with_illumina_humanht_12_v3	With ILLUMINA HumanHT 12 V3 probe ID(s)
with_illumina_humanht_12_v4	With ILLUMINA HumanHT 12 V4 probe ID(s)
with_illumina_humanref_8_v3	With ILLUMINA HumanRef 8 V3 probe ID(s)
with_illumina_humanwg_6_v1	With ILLUMINA HumanWG 6 V1 probe ID(s)
with_illumina_humanwg_6_v2	With ILLUMINA HumanWG 6 V2 probe ID(s)
with_illumina_humanwg_6_v3	With ILLUMINA HumanWG 6 V3 probe ID(s)
with_phalanx_onearray	With PHALANX OneArray probe ID(s)
affy_hc_g110	AFFY HC G110 probe ID(s) [e.g. 223_at]
affy_hg_focus	AFFY HG Focus probe ID(s) [e.g. 207326_at]
affy_hg_u133a	AFFY HG U133A probe ID(s) [e.g. 222277_at]
affy_hg_u133a_2	AFFY HG U133A 2 probe ID(s) [e.g. 222277_at]
affy_hg_u133b	AFFY HG U133B probe ID(s) [e.g. 225862_at]
affy_hg_u133_plus_2	AFFY HG U133 Plus 2 probe ID(s) [e.g. 225862_at]
affy_hg_u95a	AFFY HG U95A probe ID(s) [e.g. 39195_s_at]
affy_hg_u95av2	AFFY HG U95Av2 probe ID(s) [e.g. 39195_s_at]
affy_hg_u95b	AFFY HG U95B probe ID(s) [e.g. 46876_at]
affy_hg_u95c	AFFY HG U95C probe ID(s) [e.g. 57244_s_at]
affy_hg_u95d	AFFY HG U95D probe ID(s) [e.g. 69483_at]
affy_hg_u95e	AFFY HG U95E probe ID(s) [e.g. 76405_at]
affy_hta_2_0	AFFY HTA 2 0 probe ID(s) [e.g. TC03000406.hg]
affy_huex_1_0_st_v2	AFFY HuEx 1 0 st v2 probe ID(s) [e.g. 2628130]
affy_hugenefl	AFFY HuGeneFL probe ID(s) [e.g. U82319_at]
affy_hugene_1_0_st_v1	AFFY HuGene 1 0 st v1 probe ID(s) [e.g. 8080896]
affy_hugene_2_0_st_v1	AFFY HuGene 2 0 st v1 probe ID(s) [e.g. 16942487]
affy_primeview	AFFY PrimeView probe ID(s) [e.g. 11733127_at]
affy_u133_x3p	AFFY U133 X3P probe ID(s) [e.g. Hs.4193.0.S1_3p_at]
agilent_cgh_44b	AGILENT CGH 44b probe ID(s) [e.g. A_14_P106441]
agilent_sureprint_g3_ge_8x60k	AGILENT SurePrint G3 GE 8x60k probe ID(s) [e.g. A_24_P368544]
agilent_sureprint_g3_ge_8x60k_v2	AGILENT SurePrint G3 GE 8x60k v2 probe ID(s) [e.g. A_24_P368544]
agilent_wholegenome_4x44k_v1	AGILENT WholeGenome 4x44k v1 probe ID(s) [e.g. A_24_P368544]
agilent_wholegenome_4x44k_v2	AGILENT WholeGenome 4x44k v2 probe ID(s) [e.g. A_24_P368544]
codelink_codelink	CODELINK CODELINK probe ID(s) [e.g. GE499616]
illumina_humanht_12_v3	ILLUMINA HumanHT 12 V3 probe ID(s) [e.g. ILMN_1750981]
illumina_humanht_12_v4	ILLUMINA HumanHT 12 V4 probe ID(s) [e.g. ILMN_1768251]
illumina_humanref_8_v3	ILLUMINA HumanRef 8 V3 probe ID(s) [e.g. ILMN_1768251]
illumina_humanwg_6_v1	ILLUMINA HumanWG 6 V1 probe ID(s) [e.g. 0006040576]
illumina_humanwg_6_v2	ILLUMINA HumanWG 6 V2 probe ID(s) [e.g. ILMN_1768251]
illumina_humanwg_6_v3	ILLUMINA HumanWG 6 V3 probe ID(s) [e.g. ILMN_1768251]
phalanx_onearray	PHALANX OneArray probe ID(s) [e.g. PH_hs_0003471]
transcript_count_greater_than	Transcript count >=
transcript_count_less_than	Transcript count <=
biotype	Type
transcript_biotype	Transcript Type
source	Source (gene)
transcript_source	Source (transcript)
transcript_gencode_basic	GENCODE basic annotation
phenotype_description	Phenotype description
phenotype_source	Phenotype source
go_parent_term	Parent term accession
go_parent_name	Parent term name
go_evidence_code	GO Evidence code
with_hsapiens_paralog	Paralogous Human Genes
with_vpacos_homolog	Orthologous Alpaca Genes
with_acarolinensis_homolog	Orthologous Anole lizard Genes
with_dnovemcinctus_homolog	Orthologous Armadillo Genes
with_ogarnettii_homolog	Orthologous Bushbaby Genes
with_cintestinalis_homolog	Orthologous C.intestinalis Genes
with_csavignyi_homolog	Orthologous C.savignyi Genes
with_celegans_homolog	Orthologous Caenorhabditis elegans Genes
with_fcatus_homolog	Orthologous Cat Genes
with_amexicanus_homolog	Orthologous Cave fish Genes
with_ggallus_homolog	Orthologous Chicken Genes
with_ptroglodytes_homolog	Orthologous Chimpanzee Genes
with_psinensis_homolog	Orthologous Chinese softshell turtle Genes
with_gmorhua_homolog	Orthologous Cod Genes
with_lchalumnae_homolog	Orthologous Coelacanth Genes
with_btaurus_homolog	Orthologous Cow Genes
with_cfamiliaris_homolog	Orthologous Dog Genes
with_ttruncatus_homolog	Orthologous Dolphin Genes
with_aplatyrhynchos_homolog	Orthologous Duck Genes
with_lafricana_homolog	Orthologous Elephant Genes
with_mfuro_homolog	Orthologous Ferret Genes
with_falbicollis_homolog	Orthologous Flycatcher Genes
with_dmelanogaster_homolog	Orthologous Fruitfly Genes
with_trubripes_homolog	Orthologous Fugu Genes
with_nleucogenys_homolog	Orthologous Gibbon Genes
with_ggorilla_homolog	Orthologous Gorilla Genes
with_cporcellus_homolog	Orthologous Guinea Pig Genes
with_eeuropaeus_homolog	Orthologous Hedgehog Genes
with_ecaballus_homolog	Orthologous Horse Genes
with_pcapensis_homolog	Orthologous Hyrax Genes
with_dordii_homolog	Orthologous Kangaroo rat Genes
with_pmarinus_homolog	Orthologous Lamprey Genes
with_etelfairi_homolog	Orthologous Lesser hedgehog tenrec Genes
with_mmulatta_homolog	Orthologous Macaque Genes
with_cjacchus_homolog	Orthologous Marmoset Genes
with_olatipes_homolog	Orthologous Medaka Genes
with_pvampyrus_homolog	Orthologous Megabat Genes
with_mlucifugus_homolog	Orthologous Microbat Genes
with_mmusculus_homolog	Orthologous Mouse Genes
with_mmurinus_homolog	Orthologous Mouse Lemur Genes
with_mdomestica_homolog	Orthologous Opossum Genes
with_pabelii_homolog	Orthologous Orangutan Genes
with_amelanoleuca_homolog	Orthologous Panda Genes
with_sscrofa_homolog	Orthologous Pig Genes
with_oprinceps_homolog	Orthologous Pika Genes
with_xmaculatus_homolog	Orthologous Platyfish Genes
with_oanatinus_homolog	Orthologous Platypus Genes
with_ocuniculus_homolog	Orthologous Rabbit Genes
with_rnorvegicus_homolog	Orthologous Rat Genes
with_scerevisiae_homolog	Orthologous Saccharomyces cerevisiae Genes
with_oaries_homolog	Orthologous Sheep Genes
with_saraneus_homolog	Orthologous Shrew Genes
with_choffmanni_homolog	Orthologous Sloth Genes
with_loculatus_homolog	Orthologous Spotted gar Genes
with_itridecemlineatus_homolog	Orthologous Squirrel Genes
with_gaculeatus_homolog	Orthologous Stickleback Genes
with_tsyrichta_homolog	Orthologous Tarsier Genes
with_sharrisii_homolog	Orthologous Tasmanian devil Genes
with_tnigroviridis_homolog	Orthologous Tetraodon Genes
with_oniloticus_homolog	Orthologous Tilapia Genes
with_tbelangeri_homolog	Orthologous Tree Shrew Genes
with_mgallopavo_homolog	Orthologous Turkey Genes
with_meugenii_homolog	Orthologous Wallaby Genes
with_xtropicalis_homolog	Orthologous Xenopus Genes
with_tguttata_homolog	Orthologous Zebra Finch Genes
with_drerio_homolog	Orthologous Zebrafish Genes
with_interpro	With Interpro ID(s)
with_family	With Ensembl Protein Family ID(s)
with_gene3d	With Gene3D ID(s)
with_hamap	With HAMAP ID(s)
with_ncoils	With Coiled-coils (Ncoils)
with_hmmpanther	With hmmpanther ID(s)
with_pfam	With Pfam domain ID(s)
with_pirsf	With PIRSF domain ID(s)
with_prints	With Prints domain ID(s)
with_scanprosite	With PROSITE patterns ID(s)
with_pfscan	With PROSITE profiles ID(s)
with_seg	With Low complexity (Seg)
with_signalp	With Cleavage site (Signalp)
with_smart	With SMART domains ID(s)
with_superfamily	With Superfamily domains ID(s)
with_tigrfam	With TIGRFAM domain ID(s)
with_tmhmm	With Transmembrane helices
interpro	Interpro ID(s) [e.g. IPR000001]
family	Ensembl Protein Family ID(s) [e.g. PTHR10000_SF7]
gene3d	Gene3D ID(s) [e.g. 1.10.10.10]
hamap	HAMAP ID(s) [e.g. MF_00001]
hmmpanther	hmmpanther ID(s) [e.g. PTHR10000]
pfam	Pfam domain ID(s) [e.g. PF00001]
pirsf	PIRSF domain ID(s) [e.g. PIRSF000019]
prints	Prints domain ID(s) [e.g. PR00001]
scanprosite	PROSITE patterns ID(s) [e.g. PS00010]
pfscan	PROSITE profiles ID(s) [e.g. PS01031]
smart	SMART domains ID(s) [e.g. SM00002]
superfamily	Superfamily domains ID(s) [e.g. 0034913]
tigrfam	TIGRFAM domain ID(s) [e.g. TIGR00002]
germ_line_variation_source	limit to genes with germline variant data sources
somatic_variation_source	limit to genes with somatic variant sources
with_validated_snp	Variant supporting evidence
so_mini_parent_name	Parent term name
