name	description	page
acarolinensis_homolog_associated_gene_name	Anole lizard gene name	homologs
acarolinensis_homolog_ensembl_peptide	Anole lizard protein or transcript stable ID	homologs
acarolinensis_homolog_chromosome	Anole lizard chromosome/scaffold name	homologs
acarolinensis_homolog_chrom_start	Anole lizard chromosome/scaffold start (bp)	homologs
acarolinensis_homolog_chrom_end	Anole lizard chromosome/scaffold end (bp)	homologs
acarolinensis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
acarolinensis_homolog_subtype	Last common ancestor with Anole lizard	homologs
acarolinensis_homolog_orthology_type	Anole lizard homology type	homologs
acarolinensis_homolog_perc_id	%id. target Anole lizard gene identical to query gene	homologs
acarolinensis_homolog_perc_id_r1	%id. query gene identical to target Anole lizard gene	homologs
acarolinensis_homolog_goc_score	Anole lizard Gene-order conservation score	homologs
acarolinensis_homolog_wga_coverage	Anole lizard Whole-genome alignment coverage	homologs
acarolinensis_homolog_dn	dN with Anole lizard	homologs
acarolinensis_homolog_ds	dS with Anole lizard	homologs
acarolinensis_homolog_orthology_confidence	Anole lizard orthology confidence [0 low, 1 high]	homologs
dnovemcinctus_homolog_ensembl_gene	Armadillo gene stable ID	homologs
dnovemcinctus_homolog_associated_gene_name	Armadillo gene name	homologs
dnovemcinctus_homolog_ensembl_peptide	Armadillo protein or transcript stable ID	homologs
dnovemcinctus_homolog_chromosome	Armadillo chromosome/scaffold name	homologs
dnovemcinctus_homolog_chrom_start	Armadillo chromosome/scaffold start (bp)	homologs
dnovemcinctus_homolog_chrom_end	Armadillo chromosome/scaffold end (bp)	homologs
dnovemcinctus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
dnovemcinctus_homolog_subtype	Last common ancestor with Armadillo	homologs
dnovemcinctus_homolog_orthology_type	Armadillo homology type	homologs
dnovemcinctus_homolog_perc_id	%id. target Armadillo gene identical to query gene	homologs
dnovemcinctus_homolog_perc_id_r1	%id. query gene identical to target Armadillo gene	homologs
dnovemcinctus_homolog_goc_score	Armadillo Gene-order conservation score	homologs
dnovemcinctus_homolog_wga_coverage	Armadillo Whole-genome alignment coverage	homologs
dnovemcinctus_homolog_dn	dN with Armadillo	homologs
dnovemcinctus_homolog_ds	dS with Armadillo	homologs
dnovemcinctus_homolog_orthology_confidence	Armadillo orthology confidence [0 low, 1 high]	homologs
ogarnettii_homolog_ensembl_gene	Bushbaby gene stable ID	homologs
ogarnettii_homolog_associated_gene_name	Bushbaby gene name	homologs
ogarnettii_homolog_ensembl_peptide	Bushbaby protein or transcript stable ID	homologs
ogarnettii_homolog_chromosome	Bushbaby chromosome/scaffold name	homologs
ogarnettii_homolog_chrom_start	Bushbaby chromosome/scaffold start (bp)	homologs
ogarnettii_homolog_chrom_end	Bushbaby chromosome/scaffold end (bp)	homologs
ogarnettii_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
ogarnettii_homolog_subtype	Last common ancestor with Bushbaby	homologs
ogarnettii_homolog_orthology_type	Bushbaby homology type	homologs
ogarnettii_homolog_perc_id	%id. target Bushbaby gene identical to query gene	homologs
ogarnettii_homolog_perc_id_r1	%id. query gene identical to target Bushbaby gene	homologs
ogarnettii_homolog_goc_score	Bushbaby Gene-order conservation score	homologs
ogarnettii_homolog_wga_coverage	Bushbaby Whole-genome alignment coverage	homologs
ogarnettii_homolog_dn	dN with Bushbaby	homologs
ogarnettii_homolog_ds	dS with Bushbaby	homologs
ogarnettii_homolog_orthology_confidence	Bushbaby orthology confidence [0 low, 1 high]	homologs
cintestinalis_homolog_ensembl_gene	C.intestinalis gene stable ID	homologs
cintestinalis_homolog_associated_gene_name	C.intestinalis gene name	homologs
cintestinalis_homolog_ensembl_peptide	C.intestinalis protein or transcript stable ID	homologs
cintestinalis_homolog_chromosome	C.intestinalis chromosome/scaffold name	homologs
cintestinalis_homolog_chrom_start	C.intestinalis chromosome/scaffold start (bp)	homologs
cintestinalis_homolog_chrom_end	C.intestinalis chromosome/scaffold end (bp)	homologs
cintestinalis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
cintestinalis_homolog_subtype	Last common ancestor with C.intestinalis	homologs
cintestinalis_homolog_orthology_type	C.intestinalis homology type	homologs
cintestinalis_homolog_perc_id	%id. target C.intestinalis gene identical to query gene	homologs
cintestinalis_homolog_perc_id_r1	%id. query gene identical to target C.intestinalis gene	homologs
cintestinalis_homolog_goc_score	C.intestinalis Gene-order conservation score	homologs
cintestinalis_homolog_wga_coverage	C.intestinalis Whole-genome alignment coverage	homologs
cintestinalis_homolog_dn	dN with C.intestinalis	homologs
cintestinalis_homolog_ds	dS with C.intestinalis	homologs
cintestinalis_homolog_orthology_confidence	C.intestinalis orthology confidence [0 low, 1 high]	homologs
csavignyi_homolog_ensembl_gene	C.savignyi gene stable ID	homologs
csavignyi_homolog_associated_gene_name	C.savignyi gene name	homologs
csavignyi_homolog_ensembl_peptide	C.savignyi protein or transcript stable ID	homologs
csavignyi_homolog_chromosome	C.savignyi chromosome/scaffold name	homologs
csavignyi_homolog_chrom_start	C.savignyi chromosome/scaffold start (bp)	homologs
csavignyi_homolog_chrom_end	C.savignyi chromosome/scaffold end (bp)	homologs
csavignyi_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
csavignyi_homolog_subtype	Last common ancestor with C.savignyi	homologs
csavignyi_homolog_orthology_type	C.savignyi homology type	homologs
csavignyi_homolog_perc_id	%id. target C.savignyi gene identical to query gene	homologs
csavignyi_homolog_perc_id_r1	%id. query gene identical to target C.savignyi gene	homologs
csavignyi_homolog_goc_score	C.savignyi Gene-order conservation score	homologs
csavignyi_homolog_wga_coverage	C.savignyi Whole-genome alignment coverage	homologs
csavignyi_homolog_dn	dN with C.savignyi	homologs
csavignyi_homolog_ds	dS with C.savignyi	homologs
csavignyi_homolog_orthology_confidence	C.savignyi orthology confidence [0 low, 1 high]	homologs
celegans_homolog_ensembl_gene	Caenorhabditis elegans gene stable ID	homologs
celegans_homolog_associated_gene_name	Caenorhabditis elegans gene name	homologs
celegans_homolog_ensembl_peptide	Caenorhabditis elegans protein or transcript stable ID	homologs
celegans_homolog_chromosome	Caenorhabditis elegans chromosome/scaffold name	homologs
celegans_homolog_chrom_start	Caenorhabditis elegans chromosome/scaffold start (bp)	homologs
celegans_homolog_chrom_end	Caenorhabditis elegans chromosome/scaffold end (bp)	homologs
celegans_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
celegans_homolog_subtype	Last common ancestor with Caenorhabditis elegans	homologs
celegans_homolog_orthology_type	Caenorhabditis elegans homology type	homologs
celegans_homolog_perc_id	%id. target Caenorhabditis elegans gene identical to query gene	homologs
celegans_homolog_perc_id_r1	%id. query gene identical to target Caenorhabditis elegans gene	homologs
celegans_homolog_goc_score	Caenorhabditis elegans Gene-order conservation score	homologs
celegans_homolog_wga_coverage	Caenorhabditis elegans Whole-genome alignment coverage	homologs
celegans_homolog_dn	dN with Caenorhabditis elegans	homologs
celegans_homolog_ds	dS with Caenorhabditis elegans	homologs
celegans_homolog_orthology_confidence	Caenorhabditis elegans orthology confidence [0 low, 1 high]	homologs
fcatus_homolog_ensembl_gene	Cat gene stable ID	homologs
fcatus_homolog_associated_gene_name	Cat gene name	homologs
fcatus_homolog_ensembl_peptide	Cat protein or transcript stable ID	homologs
fcatus_homolog_chromosome	Cat chromosome/scaffold name	homologs
fcatus_homolog_chrom_start	Cat chromosome/scaffold start (bp)	homologs
fcatus_homolog_chrom_end	Cat chromosome/scaffold end (bp)	homologs
fcatus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
fcatus_homolog_subtype	Last common ancestor with Cat	homologs
fcatus_homolog_orthology_type	Cat homology type	homologs
fcatus_homolog_perc_id	%id. target Cat gene identical to query gene	homologs
fcatus_homolog_perc_id_r1	%id. query gene identical to target Cat gene	homologs
fcatus_homolog_goc_score	Cat Gene-order conservation score	homologs
fcatus_homolog_wga_coverage	Cat Whole-genome alignment coverage	homologs
fcatus_homolog_dn	dN with Cat	homologs
fcatus_homolog_ds	dS with Cat	homologs
fcatus_homolog_orthology_confidence	Cat orthology confidence [0 low, 1 high]	homologs
amexicanus_homolog_ensembl_gene	Cave fish gene stable ID	homologs
amexicanus_homolog_associated_gene_name	Cave fish gene name	homologs
amexicanus_homolog_ensembl_peptide	Cave fish protein or transcript stable ID	homologs
amexicanus_homolog_chromosome	Cave fish chromosome/scaffold name	homologs
amexicanus_homolog_chrom_start	Cave fish chromosome/scaffold start (bp)	homologs
amexicanus_homolog_chrom_end	Cave fish chromosome/scaffold end (bp)	homologs
amexicanus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
amexicanus_homolog_subtype	Last common ancestor with Cave fish	homologs
amexicanus_homolog_orthology_type	Cave fish homology type	homologs
amexicanus_homolog_perc_id	%id. target Cave fish gene identical to query gene	homologs
amexicanus_homolog_perc_id_r1	%id. query gene identical to target Cave fish gene	homologs
amexicanus_homolog_goc_score	Cave fish Gene-order conservation score	homologs
amexicanus_homolog_wga_coverage	Cave fish Whole-genome alignment coverage	homologs
amexicanus_homolog_dn	dN with Cave fish	homologs
amexicanus_homolog_ds	dS with Cave fish	homologs
amexicanus_homolog_orthology_confidence	Cave fish orthology confidence [0 low, 1 high]	homologs
ggallus_homolog_ensembl_gene	Chicken gene stable ID	homologs
ggallus_homolog_associated_gene_name	Chicken gene name	homologs
ggallus_homolog_ensembl_peptide	Chicken protein or transcript stable ID	homologs
ggallus_homolog_chromosome	Chicken chromosome/scaffold name	homologs
ggallus_homolog_chrom_start	Chicken chromosome/scaffold start (bp)	homologs
ggallus_homolog_chrom_end	Chicken chromosome/scaffold end (bp)	homologs
ggallus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
ggallus_homolog_subtype	Last common ancestor with Chicken	homologs
ggallus_homolog_orthology_type	Chicken homology type	homologs
ggallus_homolog_perc_id	%id. target Chicken gene identical to query gene	homologs
ggallus_homolog_perc_id_r1	%id. query gene identical to target Chicken gene	homologs
ggallus_homolog_goc_score	Chicken Gene-order conservation score	homologs
ggallus_homolog_wga_coverage	Chicken Whole-genome alignment coverage	homologs
ggallus_homolog_dn	dN with Chicken	homologs
ggallus_homolog_ds	dS with Chicken	homologs
ggallus_homolog_orthology_confidence	Chicken orthology confidence [0 low, 1 high]	homologs
ptroglodytes_homolog_ensembl_gene	Chimpanzee gene stable ID	homologs
ptroglodytes_homolog_associated_gene_name	Chimpanzee gene name	homologs
ptroglodytes_homolog_ensembl_peptide	Chimpanzee protein or transcript stable ID	homologs
ptroglodytes_homolog_chromosome	Chimpanzee chromosome/scaffold name	homologs
ptroglodytes_homolog_chrom_start	Chimpanzee chromosome/scaffold start (bp)	homologs
ptroglodytes_homolog_chrom_end	Chimpanzee chromosome/scaffold end (bp)	homologs
ptroglodytes_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
ptroglodytes_homolog_subtype	Last common ancestor with Chimpanzee	homologs
ptroglodytes_homolog_orthology_type	Chimpanzee homology type	homologs
ptroglodytes_homolog_perc_id	%id. target Chimpanzee gene identical to query gene	homologs
ptroglodytes_homolog_perc_id_r1	%id. query gene identical to target Chimpanzee gene	homologs
ptroglodytes_homolog_goc_score	Chimpanzee Gene-order conservation score	homologs
ptroglodytes_homolog_wga_coverage	Chimpanzee Whole-genome alignment coverage	homologs
ptroglodytes_homolog_dn	dN with Chimpanzee	homologs
ptroglodytes_homolog_ds	dS with Chimpanzee	homologs
ptroglodytes_homolog_orthology_confidence	Chimpanzee orthology confidence [0 low, 1 high]	homologs
psinensis_homolog_ensembl_gene	Chinese softshell turtle gene stable ID	homologs
psinensis_homolog_associated_gene_name	Chinese softshell turtle gene name	homologs
psinensis_homolog_ensembl_peptide	Chinese softshell turtle protein or transcript stable ID	homologs
psinensis_homolog_chromosome	Chinese softshell turtle chromosome/scaffold name	homologs
psinensis_homolog_chrom_start	Chinese softshell turtle chromosome/scaffold start (bp)	homologs
psinensis_homolog_chrom_end	Chinese softshell turtle chromosome/scaffold end (bp)	homologs
psinensis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
psinensis_homolog_subtype	Last common ancestor with Chinese softshell turtle	homologs
psinensis_homolog_orthology_type	Chinese softshell turtle homology type	homologs
psinensis_homolog_perc_id	%id. target Chinese softshell turtle gene identical to query gene	homologs
psinensis_homolog_perc_id_r1	%id. query gene identical to target Chinese softshell turtle gene	homologs
psinensis_homolog_goc_score	Chinese softshell turtle Gene-order conservation score	homologs
psinensis_homolog_wga_coverage	Chinese softshell turtle Whole-genome alignment coverage	homologs
psinensis_homolog_dn	dN with Chinese softshell turtle	homologs
psinensis_homolog_ds	dS with Chinese softshell turtle	homologs
psinensis_homolog_orthology_confidence	Chinese softshell turtle orthology confidence [0 low, 1 high]	homologs
gmorhua_homolog_ensembl_gene	Cod gene stable ID	homologs
gmorhua_homolog_associated_gene_name	Cod gene name	homologs
gmorhua_homolog_ensembl_peptide	Cod protein or transcript stable ID	homologs
gmorhua_homolog_chromosome	Cod chromosome/scaffold name	homologs
gmorhua_homolog_chrom_start	Cod chromosome/scaffold start (bp)	homologs
gmorhua_homolog_chrom_end	Cod chromosome/scaffold end (bp)	homologs
gmorhua_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
gmorhua_homolog_subtype	Last common ancestor with Cod	homologs
gmorhua_homolog_orthology_type	Cod homology type	homologs
gmorhua_homolog_perc_id	%id. target Cod gene identical to query gene	homologs
gmorhua_homolog_perc_id_r1	%id. query gene identical to target Cod gene	homologs
gmorhua_homolog_goc_score	Cod Gene-order conservation score	homologs
gmorhua_homolog_wga_coverage	Cod Whole-genome alignment coverage	homologs
gmorhua_homolog_dn	dN with Cod	homologs
gmorhua_homolog_ds	dS with Cod	homologs
gmorhua_homolog_orthology_confidence	Cod orthology confidence [0 low, 1 high]	homologs
lchalumnae_homolog_ensembl_gene	Coelacanth gene stable ID	homologs
lchalumnae_homolog_associated_gene_name	Coelacanth gene name	homologs
lchalumnae_homolog_ensembl_peptide	Coelacanth protein or transcript stable ID	homologs
lchalumnae_homolog_chromosome	Coelacanth chromosome/scaffold name	homologs
lchalumnae_homolog_chrom_start	Coelacanth chromosome/scaffold start (bp)	homologs
lchalumnae_homolog_chrom_end	Coelacanth chromosome/scaffold end (bp)	homologs
lchalumnae_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
lchalumnae_homolog_subtype	Last common ancestor with Coelacanth	homologs
lchalumnae_homolog_orthology_type	Coelacanth homology type	homologs
lchalumnae_homolog_perc_id	%id. target Coelacanth gene identical to query gene	homologs
lchalumnae_homolog_perc_id_r1	%id. query gene identical to target Coelacanth gene	homologs
lchalumnae_homolog_goc_score	Coelacanth Gene-order conservation score	homologs
lchalumnae_homolog_wga_coverage	Coelacanth Whole-genome alignment coverage	homologs
lchalumnae_homolog_dn	dN with Coelacanth	homologs
lchalumnae_homolog_ds	dS with Coelacanth	homologs
lchalumnae_homolog_orthology_confidence	Coelacanth orthology confidence [0 low, 1 high]	homologs
btaurus_homolog_ensembl_gene	Cow gene stable ID	homologs
btaurus_homolog_associated_gene_name	Cow gene name	homologs
btaurus_homolog_ensembl_peptide	Cow protein or transcript stable ID	homologs
btaurus_homolog_chromosome	Cow chromosome/scaffold name	homologs
btaurus_homolog_chrom_start	Cow chromosome/scaffold start (bp)	homologs
btaurus_homolog_chrom_end	Cow chromosome/scaffold end (bp)	homologs
btaurus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
btaurus_homolog_subtype	Last common ancestor with Cow	homologs
btaurus_homolog_orthology_type	Cow homology type	homologs
btaurus_homolog_perc_id	%id. target Cow gene identical to query gene	homologs
btaurus_homolog_perc_id_r1	%id. query gene identical to target Cow gene	homologs
btaurus_homolog_goc_score	Cow Gene-order conservation score	homologs
btaurus_homolog_wga_coverage	Cow Whole-genome alignment coverage	homologs
btaurus_homolog_dn	dN with Cow	homologs
btaurus_homolog_ds	dS with Cow	homologs
btaurus_homolog_orthology_confidence	Cow orthology confidence [0 low, 1 high]	homologs
cfamiliaris_homolog_ensembl_gene	Dog gene stable ID	homologs
cfamiliaris_homolog_associated_gene_name	Dog gene name	homologs
cfamiliaris_homolog_ensembl_peptide	Dog protein or transcript stable ID	homologs
